neighborhood,viz_name,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
abell,Abell,1105,43,743,190,2,90,1,5,31,1058,66,661,154,1,108,0,4,65,Baltimore City,-46,22,-82,-36,-1,18,-1,-1,34,-4.2,51.3,-11.1,-19,-49.9,20.1,-98.3,-20.7,110.7,67,17,4,62,15,6,Majority White,Majortiy White,Yes,red,green,red,red,red,green,red,red,green,661,154,66,"1,058"
allendale,Allendale,4036,26,20,3946,9,5,0,0,30,3416,40,42,3256,10,7,1,5,56,Baltimore City,-620,13,22,-690,1,2,1,5,26,-15.4,50.7,108.7,-17.5,9.8,33.8,100457.3,33566.5,87.9,0,98,1,1,95,1,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,42,"3,256",40,"3,416"
arcadia,Arcadia,1062,26,472,512,3,12,0,2,35,981,46,412,450,1,15,0,4,53,Baltimore City,-81,20,-60,-63,-2,4,0,2,18,-7.6,76.4,-12.7,-12.3,-51.3,30.5,21658,78.7,52.1,44,48,2,42,46,5,Majority Minority,Majority Minority,No,red,green,red,red,red,green,green,green,green,412,450,46,981
arlington,Arlington,2485,17,60,2354,3,8,0,3,39,2084,46,66,1885,5,22,1,1,58,Baltimore City,-401,29,5,-469,3,14,1,-2,18,-16.1,168.2,8.8,-19.9,102.3,174.2,Inf,-53.1,46.6,2,95,1,3,90,2,Majority Black,Majority Black,No,red,green,green,red,green,green,green,red,green,66,"1,885",46,"2,084"
armistead gardens,Armistead Gardens,2638,642,1768,142,18,10,3,1,54,2937,1440,1118,213,7,30,0,19,109,Baltimore City,299,799,-650,71,-11,20,-3,18,55,11.3,124.4,-36.8,49.8,-58.5,200.2,-91.9,2000.9,101.9,67,5,24,38,7,49,Majority Minority,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"1,118",213,"1,440","2,937"
ashburton,Ashburton,3528,42,35,3398,5,9,1,7,30,3118,79,48,2856,13,16,3,10,93,Baltimore City,-410,37,12,-541,8,7,2,3,63,-11.6,86.1,35,-15.9,149.8,76.6,150.3,38.7,208.6,1,96,1,2,92,3,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,48,"2,856",79,"3,118"
baltimore highlands,Baltimore Highlands,1354,514,525,246,14,25,2,0,30,1502,895,373,162,7,25,0,6,34,Baltimore City,148,382,-151,-84,-7,0,-2,5,4,10.9,74.4,-28.9,-34,-51.6,0.6,-100,3297.5,14.8,39,18,38,25,11,60,Majority Hispanic,Majority Minority,Yes,green,green,red,red,red,green,red,green,green,373,162,895,"1,502"
barclay,Barclay,2065,84,403,1503,8,27,1,2,38,2706,197,696,1626,5,51,1,11,119,Baltimore City,641,113,293,123,-3,24,-0,9,81,31,135.6,72.8,8.2,-34.5,90.4,-40,499.8,211.1,20,73,4,26,60,7,Majority Black,Majority Black,No,green,green,green,green,red,green,red,green,green,696,"1,626",197,"2,706"
barre circle,Barre Circle,160,5,56,91,1,4,0,1,4,157,11,46,85,1,7,0,1,7,Baltimore City,-3,7,-10,-6,0,2,-0,1,3,-2,137.4,-18,-6.4,14,51,-3,120.3,78.9,35,57,3,29,54,7,Majority Black,Majority Black,No,red,green,red,red,green,green,red,green,green,46,85,11,157
bayview,Bayview,366,92,226,25,1,13,0,1,8,445,230,147,41,1,12,0,3,11,Baltimore City,79,139,-78,16,-0,-1,-0,1,3,21.5,151.2,-34.7,62,-12.5,-8.7,-100,94.7,39.4,62,7,25,33,9,52,Majority Hispanic,Majortiy White,Yes,green,green,red,green,red,red,red,green,green,147,41,230,445
beechfield,Beechfield,3690,81,348,3170,7,30,0,0,53,3932,154,422,3138,0,91,0,25,102,Baltimore City,241,73,73,-32,-7,61,-0,25,48,6.5,89.6,21.1,-1,-97.3,200.1,-52.6,23059.3,90.4,9,86,2,11,80,4,Majority Black,Majority Black,No,green,green,green,red,red,green,red,green,green,422,"3,138",154,"3,932"
belair-edison,Belair-Edison,13240,147,978,11828,24,105,0,11,145,11656,244,562,10432,26,44,3,45,299,Baltimore City,-1584,97,-416,-1395,2,-62,3,33,154,-12,65.6,-42.5,-11.8,8.4,-58.6,1418.9,290.6,106,7,89,1,5,90,2,Majority Black,Majority Black,No,red,green,red,red,green,red,green,green,green,562,"10,432",244,"11,656"
belair-parkside,Belair-Parkside,150,3,64,75,0,2,0,0,5,140,7,57,66,0,2,0,0,7,Baltimore City,-10,3,-7,-9,-0,1,0,0,2,-6.6,92,-11,-11.9,-50.2,33.5,0,68.7,43.9,43,50,2,41,47,5,Majority Minority,Majority Black,Yes,red,green,red,red,red,green,red,green,green,57,66,7,140
bellona-gittings,Bellona-Gittings,713,18,580,74,2,24,0,2,14,715,32,541,80,1,26,0,4,32,Baltimore City,2,14,-40,6,-1,2,0,2,18,0.3,77.4,-6.8,8.7,-50,7.2,NA,133.3,132.8,81,10,3,76,11,4,Majority White,Majortiy White,Yes,green,green,red,green,red,green,NA,green,green,541,80,32,715
belvedere,Belvedere,1065,17,115,904,4,7,0,1,17,982,18,105,806,1,11,0,3,39,Baltimore City,-83,1,-9,-98,-3,4,-0,2,22,-7.8,5.1,-8.3,-10.9,-84.2,56.2,-50,116.7,133.8,11,85,2,11,82,2,Majority Black,Majority Black,No,red,green,red,red,red,green,red,green,green,105,806,18,982
berea,Berea,3664,40,27,3543,8,10,0,3,34,2963,133,69,2650,10,6,1,12,82,Baltimore City,-701,92,42,-893,3,-4,1,9,48,-19.1,228.7,158.5,-25.2,35.7,-39.7,361845.1,314.5,140.9,1,97,1,2,89,4,Majority Black,Majority Black,No,red,green,green,red,green,red,green,green,green,69,"2,650",133,"2,963"
better waverly,Better Waverly,2644,66,251,2257,11,16,0,2,42,2397,174,273,1799,7,43,0,17,84,Baltimore City,-247,108,22,-459,-4,27,0,15,43,-9.3,164.7,8.9,-20.3,-33.7,169.5,4442.5,783,102.2,9,85,2,11,75,7,Majority Black,Majority Black,No,red,green,green,red,red,green,green,green,green,273,"1,799",174,"2,397"
beverly hills,Beverly Hills,524,15,255,230,2,5,0,1,14,465,21,208,200,1,5,0,3,27,Baltimore City,-59,5,-47,-30,-1,-0,0,1,13,-11.3,32.8,-18.5,-13,-53.7,-7.5,847252,105.1,88.2,49,44,3,45,43,4,Majority Minority,Majority Minority,No,red,green,red,red,red,red,green,green,green,208,200,21,465
